date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,weekday,date,hour,month,year
2012-10-02 09:00:00,0,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,1,2012-10-02,9,10,2012
2012-10-02 10:00:00,0,289.36,0.0,0.0,75,Clouds,broken clouds,4516,1,2012-10-02,10,10,2012
2012-10-02 11:00:00,0,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,1,2012-10-02,11,10,2012
2012-10-02 12:00:00,0,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,1,2012-10-02,12,10,2012
2012-10-02 13:00:00,0,291.14,0.0,0.0,75,Clouds,broken clouds,4918,1,2012-10-02,13,10,2012
2012-10-02 14:00:00,0,291.72,0.0,0.0,1,Clear,sky is clear,5181,1,2012-10-02,14,10,2012
2012-10-02 15:00:00,0,293.17,0.0,0.0,1,Clear,sky is clear,5584,1,2012-10-02,15,10,2012
2012-10-02 16:00:00,0,293.86,0.0,0.0,1,Clear,sky is clear,6015,1,2012-10-02,16,10,2012
2012-10-02 17:00:00,0,294.14,0.0,0.0,20,Clouds,few clouds,5791,1,2012-10-02,17,10,2012
2012-10-02 18:00:00,0,293.1,0.0,0.0,20,Clouds,few clouds,4770,1,2012-10-02,18,10,2012
2012-10-02 19:00:00,0,290.97,0.0,0.0,20,Clouds,few clouds,3539,1,2012-10-02,19,10,2012
2012-10-02 20:00:00,0,289.38,0.0,0.0,1,Clear,sky is clear,2784,1,2012-10-02,20,10,2012
2012-10-02 21:00:00,0,288.61,0.0,0.0,1,Clear,sky is clear,2361,1,2012-10-02,21,10,2012
2012-10-02 22:00:00,0,287.16,0.0,0.0,1,Clear,sky is clear,1529,1,2012-10-02,22,10,2012
2012-10-02 23:00:00,0,285.45,0.0,0.0,1,Clear,sky is clear,963,1,2012-10-02,23,10,2012
2012-10-03 00:00:00,0,284.63,0.0,0.0,1,Clear,sky is clear,506,2,2012-10-03,0,10,2012
2012-10-03 01:00:00,0,283.47,0.0,0.0,1,Clear,sky is clear,321,2,2012-10-03,1,10,2012
2012-10-03 02:00:00,0,281.18,0.0,0.0,1,Clear,sky is clear,273,2,2012-10-03,2,10,2012
2012-10-03 03:00:00,0,281.09,0.0,0.0,1,Clear,sky is clear,367,2,2012-10-03,3,10,2012
2012-10-03 04:00:00,0,279.53,0.0,0.0,1,Clear,sky is clear,814,2,2012-10-03,4,10,2012
2012-10-03 05:00:00,0,278.62,0.0,0.0,1,Clear,sky is clear,2718,2,2012-10-03,5,10,2012
2012-10-03 06:00:00,0,278.23,0.0,0.0,1,Clear,sky is clear,5673,2,2012-10-03,6,10,2012
2012-10-03 08:00:00,0,278.12,0.0,0.0,1,Clear,sky is clear,6511,2,2012-10-03,8,10,2012
2012-10-03 09:00:00,0,282.48,0.0,0.0,1,Clear,sky is clear,5471,2,2012-10-03,9,10,2012
2012-10-03 12:00:00,0,291.97,0.0,0.0,1,Clear,sky is clear,5097,2,2012-10-03,12,10,2012
2012-10-03 13:00:00,0,293.23,0.0,0.0,1,Clear,sky is clear,4887,2,2012-10-03,13,10,2012
2012-10-03 14:00:00,0,294.31,0.0,0.0,1,Clear,sky is clear,5337,2,2012-10-03,14,10,2012
2012-10-03 15:00:00,0,295.17,0.0,0.0,1,Clear,sky is clear,5692,2,2012-10-03,15,10,2012
2012-10-03 16:00:00,0,295.13,0.0,0.0,1,Clear,sky is clear,6137,2,2012-10-03,16,10,2012
2012-10-03 18:00:00,0,293.66,0.0,0.0,20,Clouds,few clouds,4623,2,2012-10-03,18,10,2012
2012-10-03 19:00:00,0,290.65,0.0,0.0,20,Clouds,few clouds,3591,2,2012-10-03,19,10,2012
2012-10-03 20:00:00,0,288.19,0.0,0.0,20,Clouds,few clouds,2898,2,2012-10-03,20,10,2012
2012-10-03 21:00:00,0,287.1,0.0,0.0,1,Clear,sky is clear,2637,2,2012-10-03,21,10,2012
2012-10-03 22:00:00,0,286.25,0.0,0.0,1,Clear,sky is clear,1777,2,2012-10-03,22,10,2012
2012-10-03 23:00:00,0,285.26,0.0,0.0,1,Clear,sky is clear,1015,2,2012-10-03,23,10,2012
2012-10-04 00:00:00,0,284.55,0.0,0.0,1,Clear,sky is clear,598,3,2012-10-04,0,10,2012
2012-10-04 01:00:00,0,283.47,0.0,0.0,1,Clear,sky is clear,369,3,2012-10-04,1,10,2012
2012-10-04 02:00:00,0,283.17,0.0,0.0,1,Clear,sky is clear,312,3,2012-10-04,2,10,2012
2012-10-04 03:00:00,0,282.04,0.0,0.0,1,Clear,sky is clear,367,3,2012-10-04,3,10,2012
2012-10-04 04:00:00,0,281.69,0.0,0.0,1,Clear,sky is clear,835,3,2012-10-04,4,10,2012
2012-10-04 05:00:00,0,281.32,0.0,0.0,1,Clear,sky is clear,2726,3,2012-10-04,5,10,2012
2012-10-04 06:00:00,0,280.74,0.0,0.0,1,Clear,sky is clear,5689,3,2012-10-04,6,10,2012
2012-10-04 07:00:00,0,280.57,0.0,0.0,1,Clear,sky is clear,6990,3,2012-10-04,7,10,2012
2012-10-04 08:00:00,0,281.86,0.0,0.0,1,Clear,sky is clear,5985,3,2012-10-04,8,10,2012
2012-10-04 09:00:00,0,284.98,0.0,0.0,1,Clear,sky is clear,5309,3,2012-10-04,9,10,2012
2012-10-04 10:00:00,0,289.18,0.0,0.0,1,Clear,sky is clear,4603,3,2012-10-04,10,10,2012
2012-10-04 11:00:00,0,291.55,0.0,0.0,1,Clear,sky is clear,4884,3,2012-10-04,11,10,2012
2012-10-04 12:00:00,0,294.97,0.0,0.0,1,Clear,sky is clear,5104,3,2012-10-04,12,10,2012
2012-10-04 13:00:00,0,296.38,0.0,0.0,1,Clear,sky is clear,5178,3,2012-10-04,13,10,2012
2012-10-04 14:00:00,0,297.32,0.0,0.0,1,Clear,sky is clear,5501,3,2012-10-04,14,10,2012
2012-10-04 15:00:00,0,298.17,0.0,0.0,1,Clear,sky is clear,5713,3,2012-10-04,15,10,2012
2012-10-04 16:00:00,0,298.06,0.0,0.0,20,Clouds,few clouds,6292,3,2012-10-04,16,10,2012
2012-10-04 17:00:00,0,297.67,0.0,0.0,20,Clouds,few clouds,6057,3,2012-10-04,17,10,2012
2012-10-04 18:00:00,0,296.36,0.0,0.0,40,Clouds,scattered clouds,4907,3,2012-10-04,18,10,2012
2012-10-04 19:00:00,0,293.85,0.0,0.0,40,Clouds,scattered clouds,3503,3,2012-10-04,19,10,2012
2012-10-04 20:00:00,0,292.43,0.0,0.0,40,Clouds,scattered clouds,3037,3,2012-10-04,20,10,2012
2012-10-04 21:00:00,0,291.77,0.0,0.0,75,Clouds,broken clouds,2822,3,2012-10-04,21,10,2012
2012-10-04 22:00:00,0,291.36,0.0,0.0,75,Clouds,broken clouds,1992,3,2012-10-04,22,10,2012
2012-10-04 23:00:00,0,291.12,0.0,0.0,75,Clouds,broken clouds,1166,3,2012-10-04,23,10,2012
2012-10-05 00:00:00,0,290.63,0.0,0.0,75,Clouds,broken clouds,627,4,2012-10-05,0,10,2012
2012-10-05 01:00:00,0,290.46,0.0,0.0,40,Clouds,scattered clouds,388,4,2012-10-05,1,10,2012
2012-10-05 03:00:00,0,289.26,0.0,0.0,0,Clear,sky is clear,368,4,2012-10-05,3,10,2012
2012-10-05 05:00:00,0,283.21,0.0,0.0,75,Clouds,broken clouds,2489,4,2012-10-05,5,10,2012
2012-10-05 06:00:00,0,282.24,0.0,0.0,90,Clouds,overcast clouds,5537,4,2012-10-05,6,10,2012
2012-10-05 07:00:00,0,281.69,0.0,0.0,90,Clouds,overcast clouds,6628,4,2012-10-05,7,10,2012
2012-10-05 08:00:00,0,280.57,0.0,0.0,90,Clouds,overcast clouds,5534,4,2012-10-05,8,10,2012
2012-10-05 09:00:00,0,280.02,0.0,0.0,75,Clouds,broken clouds,5403,4,2012-10-05,9,10,2012
2012-10-05 10:00:00,0,280.11,0.0,0.0,75,Clouds,broken clouds,4770,4,2012-10-05,10,10,2012
2012-10-05 11:00:00,0,280.0,0.0,0.0,90,Clouds,overcast clouds,5217,4,2012-10-05,11,10,2012
2012-10-05 12:00:00,0,280.53,0.0,0.0,90,Clouds,overcast clouds,5870,4,2012-10-05,12,10,2012
2012-10-05 13:00:00,0,281.43,0.0,0.0,75,Clouds,broken clouds,5967,4,2012-10-05,13,10,2012
2012-10-05 14:00:00,0,281.78,0.0,0.0,90,Clouds,overcast clouds,6108,4,2012-10-05,14,10,2012
2012-10-05 15:00:00,0,281.91,0.0,0.0,90,Clouds,overcast clouds,6128,4,2012-10-05,15,10,2012
2012-10-05 16:00:00,0,281.73,0.0,0.0,90,Clouds,overcast clouds,6069,4,2012-10-05,16,10,2012
2012-10-05 17:00:00,0,281.42,0.0,0.0,90,Clouds,overcast clouds,6169,4,2012-10-05,17,10,2012
2012-10-05 18:00:00,0,280.87,0.0,0.0,90,Clouds,overcast clouds,5384,4,2012-10-05,18,10,2012
2012-10-05 19:00:00,0,280.15,0.0,0.0,90,Clouds,overcast clouds,4063,4,2012-10-05,19,10,2012
2012-10-05 20:00:00,0,279.78,0.0,0.0,90,Clouds,overcast clouds,3364,4,2012-10-05,20,10,2012
2012-10-05 21:00:00,0,279.65,0.0,0.0,75,Clouds,broken clouds,2971,4,2012-10-05,21,10,2012
2012-10-05 22:00:00,0,279.22,0.0,0.0,40,Clouds,scattered clouds,2450,4,2012-10-05,22,10,2012
2012-10-05 23:00:00,0,279.06,0.0,0.0,40,Clouds,scattered clouds,1832,4,2012-10-05,23,10,2012
2012-10-06 00:00:00,0,278.81,0.0,0.0,90,Clouds,overcast clouds,1231,5,2012-10-06,0,10,2012
2012-10-06 01:00:00,0,278.55,0.0,0.0,90,Clouds,overcast clouds,718,5,2012-10-06,1,10,2012
2012-10-06 02:00:00,0,278.59,0.0,0.0,90,Clouds,overcast clouds,545,5,2012-10-06,2,10,2012
2012-10-06 04:00:00,0,276.99,0.0,0.0,75,Clouds,broken clouds,411,5,2012-10-06,4,10,2012
2012-10-06 05:00:00,0,276.35,0.0,0.0,20,Clouds,few clouds,688,5,2012-10-06,5,10,2012
2012-10-06 06:00:00,0,275.4,0.0,0.0,1,Clear,sky is clear,1352,5,2012-10-06,6,10,2012
2012-10-06 07:00:00,0,275.17,0.0,0.0,1,Clear,sky is clear,2072,5,2012-10-06,7,10,2012
2012-10-06 08:00:00,0,274.99,0.0,0.0,1,Clear,sky is clear,3342,5,2012-10-06,8,10,2012
2012-10-06 09:00:00,0,275.09,0.0,0.0,40,Clouds,scattered clouds,4258,5,2012-10-06,9,10,2012
2012-10-06 10:00:00,0,276.88,0.0,0.0,20,Clouds,few clouds,4861,5,2012-10-06,10,10,2012
2012-10-06 11:00:00,0,278.04,0.0,0.0,20,Clouds,few clouds,5191,5,2012-10-06,11,10,2012
2012-10-06 12:00:00,0,279.08,0.0,0.0,40,Clouds,scattered clouds,5669,5,2012-10-06,12,10,2012
2012-10-06 13:00:00,0,280.12,0.0,0.0,75,Clouds,broken clouds,5074,5,2012-10-06,13,10,2012
2012-10-06 14:00:00,0,280.25,0.0,0.0,75,Clouds,broken clouds,5025,5,2012-10-06,14,10,2012
2012-10-06 15:00:00,0,280.0,0.0,0.0,75,Clouds,broken clouds,5153,5,2012-10-06,15,10,2012
2012-10-06 16:00:00,0,279.06,0.0,0.0,90,Clouds,overcast clouds,5024,5,2012-10-06,16,10,2012
2012-10-06 17:00:00,0,278.91,0.0,0.0,90,Clouds,overcast clouds,4779,5,2012-10-06,17,10,2012
2012-10-06 18:00:00,0,278.39,0.0,0.0,90,Clouds,overcast clouds,4362,5,2012-10-06,18,10,2012
2012-10-06 19:00:00,0,278.16,0.0,0.0,90,Clouds,overcast clouds,3860,5,2012-10-06,19,10,2012
2012-10-06 20:00:00,0,278.16,0.0,0.0,90,Clouds,overcast clouds,3160,5,2012-10-06,20,10,2012
2012-10-06 21:00:00,0,277.93,0.0,0.0,90,Clouds,overcast clouds,2992,5,2012-10-06,21,10,2012
2012-10-06 22:00:00,0,276.9,0.0,0.0,90,Clouds,overcast clouds,3202,5,2012-10-06,22,10,2012
2012-10-06 23:00:00,0,276.34,0.0,0.0,75,Clouds,broken clouds,1941,5,2012-10-06,23,10,2012
2012-10-07 00:00:00,0,276.11,0.0,0.0,75,Clouds,broken clouds,1233,6,2012-10-07,0,10,2012
2012-10-07 03:00:00,0,275.73,0.0,0.0,90,Clouds,overcast clouds,323,6,2012-10-07,3,10,2012
2012-10-07 04:00:00,0,275.65,0.0,0.0,90,Clouds,overcast clouds,312,6,2012-10-07,4,10,2012
2012-10-07 05:00:00,0,275.51,0.0,0.0,75,Clouds,broken clouds,627,6,2012-10-07,5,10,2012
2012-10-07 06:00:00,0,275.05,0.0,0.0,90,Clouds,overcast clouds,1508,6,2012-10-07,6,10,2012
2012-10-07 07:00:00,0,274.77,0.0,0.0,90,Clouds,overcast clouds,1539,6,2012-10-07,7,10,2012
2012-10-07 08:00:00,0,274.77,0.0,0.0,75,Clouds,broken clouds,2232,6,2012-10-07,8,10,2012
2012-10-07 09:00:00,0,275.55,0.0,0.0,75,Clouds,broken clouds,4568,6,2012-10-07,9,10,2012
2012-10-07 10:00:00,0,276.24,0.0,0.0,75,Clouds,broken clouds,4624,6,2012-10-07,10,10,2012
2012-10-07 11:00:00,0,277.01,0.0,0.0,90,Clouds,overcast clouds,4529,6,2012-10-07,11,10,2012
2012-10-07 12:00:00,0,277.43,0.0,0.0,90,Clouds,overcast clouds,5139,6,2012-10-07,12,10,2012
2012-10-07 13:00:00,0,278.45,0.0,0.0,90,Clouds,overcast clouds,6640,6,2012-10-07,13,10,2012
2012-10-07 14:00:00,0,279.27,0.0,0.0,90,Clouds,overcast clouds,6589,6,2012-10-07,14,10,2012
2012-10-07 15:00:00,0,279.27,0.0,0.0,90,Clouds,overcast clouds,4429,6,2012-10-07,15,10,2012
2012-10-07 16:00:00,0,279.44,0.0,0.0,90,Clouds,overcast clouds,4329,6,2012-10-07,16,10,2012
2012-10-07 17:00:00,0,279.32,0.0,0.0,90,Clouds,overcast clouds,3833,6,2012-10-07,17,10,2012
2012-10-07 18:00:00,0,279.27,0.0,0.0,90,Clouds,overcast clouds,4015,6,2012-10-07,18,10,2012
2012-10-07 19:00:00,0,278.11,0.0,0.0,90,Clouds,overcast clouds,3382,6,2012-10-07,19,10,2012
2012-10-07 20:00:00,0,276.79,0.0,0.0,75,Clouds,broken clouds,2815,6,2012-10-07,20,10,2012
2012-10-07 21:00:00,0,275.73,0.0,0.0,90,Clouds,overcast clouds,2110,6,2012-10-07,21,10,2012
2012-10-07 22:00:00,0,274.88,0.0,0.0,75,Clouds,broken clouds,1555,6,2012-10-07,22,10,2012
2012-10-07 23:00:00,0,273.92,0.0,0.0,20,Clouds,few clouds,959,6,2012-10-07,23,10,2012
2012-10-08 00:00:00,1,273.08,0.0,0.0,20,Clouds,few clouds,455,0,2012-10-08,0,10,2012
2012-10-08 01:00:00,0,272.62,0.0,0.0,20,Clouds,few clouds,336,0,2012-10-08,1,10,2012
2012-10-08 02:00:00,0,271.78,0.0,0.0,1,Clear,sky is clear,265,0,2012-10-08,2,10,2012
2012-10-08 03:00:00,0,271.05,0.0,0.0,1,Clear,sky is clear,314,0,2012-10-08,3,10,2012
2012-10-08 04:00:00,0,270.63,0.0,0.0,1,Clear,sky is clear,779,0,2012-10-08,4,10,2012
2012-10-08 05:00:00,0,270.33,0.0,0.0,1,Clear,sky is clear,2571,0,2012-10-08,5,10,2012
2012-10-08 06:00:00,0,269.61,0.0,0.0,20,Clouds,few clouds,5563,0,2012-10-08,6,10,2012
2012-10-08 07:00:00,0,270.01,0.0,0.0,20,Clouds,few clouds,6676,0,2012-10-08,7,10,2012
2012-10-08 08:00:00,0,271.23,0.0,0.0,20,Clouds,few clouds,5966,0,2012-10-08,8,10,2012
2012-10-08 09:00:00,0,273.71,0.0,0.0,20,Clouds,few clouds,4832,0,2012-10-08,9,10,2012
2012-10-08 10:00:00,0,276.77,0.0,0.0,20,Clouds,few clouds,4395,0,2012-10-08,10,10,2012
2012-10-08 11:00:00,0,279.47,0.0,0.0,20,Clouds,few clouds,4411,0,2012-10-08,11,10,2012
2012-10-08 12:00:00,0,279.84,0.0,0.0,1,Clear,sky is clear,4648,0,2012-10-08,12,10,2012
2012-10-08 13:00:00,0,282.34,0.0,0.0,40,Clouds,scattered clouds,4602,0,2012-10-08,13,10,2012
2012-10-08 14:00:00,0,282.94,0.0,0.0,40,Clouds,scattered clouds,5125,0,2012-10-08,14,10,2012
2012-10-08 15:00:00,0,283.48,0.0,0.0,1,Clear,sky is clear,5502,0,2012-10-08,15,10,2012
2012-10-08 16:00:00,0,284.33,0.0,0.0,1,Clear,sky is clear,5979,0,2012-10-08,16,10,2012
2012-10-08 17:00:00,0,284.48,0.0,0.0,40,Clouds,scattered clouds,5663,0,2012-10-08,17,10,2012
2012-10-08 18:00:00,0,284.23,0.0,0.0,40,Clouds,scattered clouds,4259,0,2012-10-08,18,10,2012
2012-10-08 19:00:00,0,281.99,0.0,0.0,20,Clouds,few clouds,3069,0,2012-10-08,19,10,2012
2012-10-08 20:00:00,0,279.81,0.0,0.0,1,Clear,sky is clear,2378,0,2012-10-08,20,10,2012
2012-10-08 21:00:00,0,279.35,0.0,0.0,1,Clear,sky is clear,2030,0,2012-10-08,21,10,2012
2012-10-08 22:00:00,0,278.9,0.0,0.0,1,Clear,sky is clear,1400,0,2012-10-08,22,10,2012
2012-10-08 23:00:00,0,278.46,0.0,0.0,1,Clear,sky is clear,917,0,2012-10-08,23,10,2012
2012-10-09 00:00:00,0,277.78,0.0,0.0,1,Clear,sky is clear,515,1,2012-10-09,0,10,2012
2012-10-09 01:00:00,0,277.27,0.0,0.0,1,Clear,sky is clear,302,1,2012-10-09,1,10,2012
2012-10-09 02:00:00,0,277.47,0.0,0.0,1,Clear,sky is clear,251,1,2012-10-09,2,10,2012
2012-10-09 04:00:00,0,276.97,0.0,0.0,20,Clouds,few clouds,798,1,2012-10-09,4,10,2012
2012-10-09 05:00:00,0,276.52,0.0,0.0,40,Clouds,scattered clouds,2678,1,2012-10-09,5,10,2012
2012-10-09 06:00:00,0,276.6,0.0,0.0,40,Clouds,scattered clouds,5733,1,2012-10-09,6,10,2012
2012-10-09 07:00:00,0,277.31,0.0,0.0,75,Clouds,broken clouds,6449,1,2012-10-09,7,10,2012
2012-10-09 08:00:00,0,278.38,0.0,0.0,90,Clouds,overcast clouds,5765,1,2012-10-09,8,10,2012
